url,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,req_type_num,hanjian_host_num,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.cerquasas.it,18,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.gold-city.it,17,0,6,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
http://www.icybrand.eu,17,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.bag-online.com,19,0,6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
http://www.afive.net,15,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.avp-mech.ru,16,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.premium34.tmweb.ru,21,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
http://www.uponor.otistores.com,25,0,6,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.killerjeff.free.fr,23,0,6,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.srv20.ru,12,2,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.kolman.flatitleandescrow.com,33,0,6,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.temnhankimloai.com,24,0,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0
http://www.creditwallet.net,22,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.gold-city.it,17,0,6,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.icybrand.eu,17,0,5,0,53,64,117,0.452991453,31,19,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.pieiron.co.uk,18,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.sicuxp.sinerjimspor.com,28,0,6,0,0,15,15,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.deleondeos.com,20,0,5,0,5,3,8,0.625,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.adserv.sklice.com,22,0,6,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.wonchangvacuum.com.my,26,0,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3
http://www.gosciniec-paproc.pl,24,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.proascolcolombia.com,26,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.jktdc.in,14,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
http://www.cifor.com,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.areadiprova.eu,20,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.profill-smd.com,20,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.pradakomechanicals.com,28,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
http://www.blog.replacemycontacts.com,31,0,6,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.avppet.com,16,0,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0
http://www.rst-velbert.de,19,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.gasthofpost-ebs.de,23,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.lunchgarden.com,21,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
http://www.spfonster.se,18,0,5,0,0,0,0,0,1,1,5,0,2,2,0,0,0,0,1
http://www.trarydfonster.se,22,0,5,0,0,0,0,0,1,1,5,0,2,2,0,0,0,0,1
http://www.csaladipotlek.info,24,0,5,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0
http://www.inclusivediversity.co.uk,29,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.dashlinen.testing-domain-live.co.uk,37,0,9,2,2,0,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.dicoz.fr,14,0,5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
