rank,link,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,iframe_num,location_num,eval_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num,label
66,http://www.chinaz.com,16,0,5,0,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
67,http://www.alibaba.com,17,0,5,0,1225,7053,8278,0.147982604,0,2,3,4,1,0,0,0,1,0
68,http://www.scol.com.cn,16,0,6,0,7647,1400,9047,0.84525257,8,1,1,2,3,0,0,0,0,0
69,http://www.admaimai.com,18,0,5,0,12058,156,12214,0.987227771,0,9,1,15,2,0,0,0,2,0
70,http://www.jqw.com,13,0,5,0,5611,636,6247,0.898191132,0,1,0,0,0,0,0,0,1,0
71,http://www.cnzz.com,14,0,5,0,,,,,0,2,0,0,0,0,0,0,1,0
72,http://www.k618.cn,10,3,5,0,1210,2695,3905,0.309859155,0,2,0,3,5,0,0,0,1,0
73,http://www.dianping.com,18,0,5,0,448,3190,3638,0.123144585,0,7,0,0,0,0,0,0,3,0
74,http://www.alicdn.com,16,0,5,0,,,,,0,0,0,0,0,0,0,0,0,0
75,http://www.hupu.com,14,0,5,0,944,7493,8437,0.111888112,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
76,http://www.126.com,10,3,5,0,120,1259,1379,0.087019579,5,0,0,0,0,0,0,0,0,0
77,http://www.xiami.com,15,0,5,0,488,11890,12378,0.039424786,0,4,0,0,0,0,0,0,1,0
78,http://www.360doc.com,13,3,5,0,797,0,797,1,0,0,0,0,0,0,0,0,0,0
79,http://www.runoob.com,16,0,5,0,881,628,1509,0.583830351,0,0,0,0,0,0,0,0,0,0
80,http://www.jb51.net,12,2,5,0,5760,768,6528,0.882352941,0,9,0,0,0,0,0,0,4,0
81,http://www.cnbeta.com,16,0,5,0,1105,14495,15600,0.070833333,0,0,0,0,2,0,0,0,0,0
82,http://www.oschina.net,17,0,5,0,4554,792,5346,0.851851852,0,1,0,1,0,0,0,0,0,0
83,http://www.segmentfault.com,22,0,5,0,6048,1972,8020,0.754114713,0,2,1,0,0,0,0,0,2,0
84,http://www.178.com,10,3,5,0,8762,3519,12281,0.713459816,2,2,0,0,0,0,0,0,0,0
85,http://www.mydrivers.com,19,0,5,0,2725,3780,6505,0.418908532,4,2,0,0,0,0,0,0,0,0
86,http://www.ali213.net,13,3,5,0,9583,3053,12636,0.758388731,0,5,2,0,0,0,0,0,3,0
87,http://www.feng.com,14,0,5,0,5181,288,5469,0.94733955,0,1,0,0,0,0,0,0,0,0
88,http://www.mi.com,12,0,5,0,365,4014,4379,0.083352364,0,2,0,0,0,0,0,0,0,0
89,http://www.tencent.com,17,0,5,0,2025,375,2400,0.84375,0,1,0,0,0,0,0,0,0,0
90,http://www.chiphell.com,18,0,5,0,10336,988,11324,0.912751678,0,1,0,1,2,0,0,0,0,0
91,http://www.mozilla.org,17,0,5,0,,,,,0,28,0,0,0,0,0,0,0,0
92,http://www.4399.com,10,4,5,0,1401,6004,7405,0.189196489,0,6,0,2,0,0,0,0,0,0
93,http://www.cnki.net,14,0,5,0,4582,553,5135,0.892307692,0,0,0,0,0,0,0,0,0,0
94,http://www.zhibo8.cc,14,1,5,0,891,35235,36126,0.024663677,16,2,0,0,0,0,0,0,2,0
95,http://www.jmw.com.cn,15,0,6,0,7864,5002,12866,0.611223379,0,15,0,4,7,0,0,0,13,0
96,http://www.51.la,9,2,5,0,2406,1245,3651,0.658997535,0,6,0,0,0,0,0,0,0,0
97,http://www.51cto.com,13,2,5,0,10667,2100,12767,0.835513433,0,6,0,0,0,0,0,0,2,0
98,http://www.firefoxchina.cn,21,0,5,0,4845,5100,9945,0.487179487,13,2,0,0,0,0,0,0,2,0
99,http://www.weibo.cn,14,0,5,0,0,601,601,0,0,2,0,0,0,0,0,0,0,0
100,http://www.52pojie.cn,14,2,5,0,3480,2784,6264,0.555555556,0,2,0,0,1,0,0,0,2,0
101,http://www.dangdang.com,18,0,5,0,2022,3864,5886,0.343527013,4,1,2,1,0,0,0,0,1,0
102,http://www.chsi.com.cn,16,0,6,0,1957,1068,3025,0.646942149,0,0,0,0,0,0,0,0,0,0
103,http://www.ctrip.com,15,0,5,0,90,0,90,1,2,7,0,4,0,0,0,0,0,0
104,http://www.w3school.com.cn,19,1,6,0,1273,1727,3000,0.424333333,0,0,0,0,0,0,0,0,0,0
105,http://www.familydoctor.com.cn,24,0,6,0,25568,4140,29708,0.860643598,26,18,0,0,0,0,0,0,3,0
106,http://www.bzw315.com,13,3,5,0,6973,744,7717,0.903589478,0,16,0,0,0,0,0,0,14,0
107,http://www.autohome.com.cn,20,0,6,0,6862,20304,27166,0.252595156,2,12,17,20,0,0,0,0,1,0
