URL,zimu_num,shuzi,zifu_num,url_T_num,inner,out,sum,bili,req_type_num,hanjian_host_num
http://www.efu.com.cn,15,0,6,0,175,31,206,0.849514563,5,2
http://www.sina.com.cn,16,0,6,0,137,274,411,0.333333333,20,4
http://www.southcn.com,17,0,5,0,161,5,166,0.9698795179999999,8,3
http://sspai.com,12,0,4,0,33,5,38,0.8684210529999999,6,2
http://www.17track.net,15,2,5,0,55,5,60,0.916666667,7,3
http://www.to8to.com,14,1,5,0,73,22,95,0.768421053,5,0
http://www.hao245.com,13,3,5,0,0,2,2,0.0,1,0
http://www.hao123.com,13,3,5,0,31,151,182,0.17032967,6,2
http://www.cctv.com,14,0,5,0,5,134,139,0.035971223,5,1
http://www.kugou.com,15,0,5,0,25,27,52,0.480769231,3,0
http://www.gov.cn,12,0,5,0,110,5,115,0.956521739,9,3
http://www.fobshanghai.com,21,0,5,0,39,1,40,0.975,2,1
http://www.huxiu.com,15,0,5,0,19,105,124,0.153225806,10,3
http://www.ooopic.com,16,0,5,0,4,231,235,0.017021276999999998,4,1
http://www.ooopic.com,16,0,5,0,4,229,233,0.017167382,4,1
http://www.mi.com,12,0,5,0,5,49,54,0.092592593,3,0
http://www.sciencenet.cn,19,0,5,0,58,2,60,0.966666667,3,1
http://www.cr173.com,12,3,5,0,399,2,401,0.9950124690000001,3,0
http://www.thepaper.cn,17,0,5,0,81,6,87,0.931034483,6,3
http://www.cpic.com.cn,16,0,6,0,17,45,62,0.274193548,5,0
http://www.jstv.com,14,0,5,0,108,7,115,0.939130435,7,3
http://www.panduoduo.net,19,0,5,0,0,73,73,0.0,16,5
http://www.guokr.com,15,0,5,0,31,18,49,0.632653061,7,3
http://ee.bytedance.net,18,0,5,0,5,7,12,0.41666666700000005,5,2
http://www.gusuwang.com,18,0,5,0,41,59,100,0.41,5,2
http://www.cyol.com,14,0,5,0,111,15,126,0.880952381,3,0
http://www.cmbchina.com,18,0,5,0,96,0,96,1.0,1,0
http://www.photofans.cn,18,0,5,0,116,98,214,0.542056075,4,1
http://www.ceconline.com,19,0,5,0,55,31,86,0.639534884,8,4
http://www.aizhan.com,16,0,5,0,29,0,29,1.0,1,0
http://www.dilidili.wang,19,0,5,0,0,5,5,0.0,2,0
http://www.battlenet.com.cn,21,0,6,0,22,44,66,0.333333333,6,1
http://www.weather.com.cn,19,0,6,0,86,25,111,0.774774775,16,8
http://steamcn.com,14,0,4,0,89,22,111,0.8018018020000001,12,6
http://www.liansuo.com,17,0,5,0,302,8,310,0.974193548,6,1
http://www.kdslife.com,17,0,5,0,14,52,66,0.212121212,4,0
http://www.gfan.com,14,0,5,0,16,131,147,0.10884353699999999,9,3
http://www.mydigit.cn,16,0,5,0,28,73,101,0.277227723,10,2
http://www.pinggu.org,16,0,5,0,12,22,34,0.352941176,6,2
http://www.ifanr.com,15,0,5,0,76,40,116,0.655172414,10,2
http://www.wanfangdata.com.cn,23,0,6,0,84,1,85,0.9882352940000001,2,0
http://www.coursera.org,18,0,5,0,2,3,5,0.4,10,7
http://www.12306.cn,9,5,5,0,23,0,23,1.0,1,0
http://www.coursera.org,18,0,5,0,1,0,1,1.0,1,0
http://www.zhcw.com,14,0,5,0,0,5,5,0.0,1,0
http://www.iciba.com,15,0,5,0,37,11,48,0.770833333,5,1
http://www.sonhoo.com,16,0,5,0,160,7,167,0.958083832,3,0
http://www.ip138.com,12,3,5,0,1,1,2,0.5,3,2
http://wallstreetcn.com,19,0,4,0,28,48,76,0.3684210526315789,7,2
http://www.house365.com,15,3,5,0,18,0,18,1.0,1,0
http://www.tuniu.com,15,0,5,0,2,195,197,0.01015228426395939,6,3
http://www.house365.com,15,3,5,0,18,0,18,1.0,2,1
http://www.winshang.com,18,0,5,0,207,5,212,0.9764150943396226,5,3
http://www.10010.com,10,5,5,0,2,0,2,1.0,1,1
http://www.10010.com,10,5,5,0,146,0,146,1.0,4,3
http://www.10010.com,10,5,5,0,2,0,2,1.0,2,2
http://www.10010.com,10,5,5,0,185,0,185,1.0,4,2
http://www.evolife.cn,16,0,5,0,99,12,111,0.8918918918918919,6,2
http://www.qunar.com,15,0,5,0,57,82,139,0.4100719424460432,3,1
http://www.xiaomi.cn,15,0,5,0,16,51,67,0.2388059701492537,6,2
http://www.xiachufang.com,20,0,5,0,2,68,70,0.028571428571428567,7,3
http://www.csair.com,15,0,5,0,1,0,1,1.0,1,1
http://www.csair.com,15,0,5,0,29,0,29,1.0,5,2
http://www.gongchang.com,19,0,5,0,3,118,121,0.02479338842975207,4,0
http://www.dxy.cn,12,0,5,0,20,125,145,0.13793103448275862,7,4
http://cloud.tencent.com,19,0,5,0,11,158,169,0.0650887573964497,9,4
http://www.weiyun.com,16,0,5,0,6,39,45,0.13333333333333333,9,6
http://www.ccb.com,13,0,5,0,0,0,0,0.0,0,0
http://www.ccb.com,13,0,5,0,218,0,218,1.0,2,0
http://www.chengdu.cn,16,0,5,0,38,32,70,0.5428571428571428,8,3
http://www.qichacha.com,18,0,5,0,70,5,75,0.9333333333333332,9,4
http://www.ems.com.cn,15,0,6,0,29,1,30,0.9666666666666668,2,0
http://www.banma.com,15,0,5,0,114,2,116,0.9827586206896552,2,0
http://www.youzan.com,16,0,5,0,2,85,87,0.02298850574712644,7,5
http://www.zju.edu.cn,15,0,6,0,63,1,64,0.984375,3,1
http://www.10086.cn,9,5,5,0,1,0,1,1.0,1,1
http://www.10086.cn,9,5,5,0,123,0,123,1.0,1,0
http://www.189.cn,9,3,5,0,1,0,1,1.0,2,2
http://www.189.cn,9,3,5,0,50,3,53,0.9433962264150944,3,1
http://en.yiwugo.com,15,0,5,0,8,81,89,0.0898876404494382,4,1
http://www.52pk.com,12,2,5,0,137,3,140,0.9785714285714284,9,4
http://www.dv37.com,12,2,5,0,187,11,198,0.9444444444444444,3,0
http://www.dapenti.com,17,0,5,0,4,72,76,0.05263157894736842,16,5
http://www.win007.com,13,3,5,0,37,2,39,0.9487179487179488,2,0
http://www.chinanews.com,19,0,5,0,116,61,177,0.655367231638418,7,1
http://www.vvvdj.com,15,0,5,0,161,6,167,0.9640718562874252,3,0
http://www.dayoo.com,15,0,5,0,81,9,90,0.9,6,3
http://www.amap.com,14,0,5,0,21,0,21,1.0,4,0
http://www.kuaidi100.com,16,3,5,0,40,40,80,0.5,8,4
http://www.xueqiu.com,16,0,5,0,3,25,28,0.10714285714285714,6,1
http://www.lagou.com,15,0,5,0,12,54,66,0.18181818181818185,6,1
http://www.ebrun.com,15,0,5,0,0,0,0,0.0,0,0
http://www.ebrun.com,15,0,5,0,144,13,157,0.9171974522292994,7,3
http://www.dingtalk.com,18,0,5,0,1,79,80,0.0125,5,1
http://www.cheaa.com,15,0,5,0,188,36,224,0.8392857142857143,3,0
http://tower.im,11,0,4,0,19,5,24,0.7916666666666666,5,0
http://www.258.com,10,3,5,0,283,34,317,0.8927444794952681,7,0
http://login.alibaba-inc.com,22,0,6,1,9,14,23,0.39130434782608703,5,1
http://www.iweihai.cn,16,0,5,0,70,17,87,0.8045977011494253,3,0
http://www.liqu.com,14,0,5,0,72,7,79,0.9113924050632912,4,0
http://www.liaoxuefeng.com,21,0,5,0,27,13,40,0.675,6,2
http://www.iliangcang.com,20,0,5,0,88,30,118,0.7457627118644068,6,3
http://www.kongfz.com,16,0,5,0,56,21,77,0.7272727272727273,4,1
http://www.11467.com,10,5,5,0,23,14,37,0.6216216216216216,4,1
http://www.babyschool.com.cn,22,0,6,0,101,27,128,0.7890625,11,5
http://www.morningpost.com.cn,23,0,6,0,59,1,60,0.9833333333333332,3,1
http://www.acs.org,13,0,5,0,46,27,73,0.6301369863013698,16,9
http://www.acs.org,13,0,5,0,36,16,52,0.6923076923076923,8,4
http://www.vip.com,13,0,5,0,6,38,44,0.13636363636363635,6,0
http://www.lenovo.com.cn,18,0,6,0,13,104,117,0.1111111111111111,6,3
http://www.uc.cn,11,0,5,0,38,2,40,0.95,4,2
http://www.ibm.com,13,0,5,0,42,79,121,0.3471074380165289,24,12
http://www.netease.com,17,0,5,0,3,37,40,0.075,4,2
http://www.huijiwiki.com,19,0,5,0,45,34,79,0.569620253164557,7,3
http://www.ctoutiao.com,18,0,5,0,95,36,131,0.7251908396946565,9,2
http://www.pinduoduo.com,19,0,5,0,47,31,78,0.6025641025641025,6,3
http://m.9384.com,8,4,5,0,27,6,33,0.8181818181818182,4,1
http://www.koolearn.com,18,0,5,0,142,26,168,0.8452380952380952,11,1
